sys_nm,species,cuid,cunamepse,region,GFE_ID,streamid,lat,lon
INDIAN CABIN CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1519.0,2470,53.1953271,-132.2848256
INDIAN CABIN CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1519.0,3983,53.1953271,-132.2848256
INDIAN CABIN CREEK,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1519.0,4927,53.1953271,-132.2848256
INDIAN CABIN CREEK,Chum,804,Skidegate,Haida Gwaii,1519.0,348,53.1953271,-132.2848256
INDIAN CABIN CREEK-R/H,Chum,804,Skidegate,Haida Gwaii,1518.0,347,53.19660604,-132.2833233
INDIAN CABIN CREEK-R/H,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1518.0,3982,53.19660604,-132.2833233
INDIAN CABIN CREEK-R/H,Coho,807,East Haida Gwaii,Haida Gwaii,1518.0,2469,53.19660604,-132.2833233
INSKIP CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1669.0,367,53.00905619,-132.2318358
INSKIP CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1669.0,2489,53.00905619,-132.2318358
INSKIP CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1669.0,4002,53.00905619,-132.2318358
IRON DUKE CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1696.0,2408,53.01074394,-131.7582888
IRON DUKE CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1696.0,3949,53.01074394,-131.7582888
ISLAND BAY CREEKS-L/H,Coho,807,East Haida Gwaii,Haida Gwaii,1622.0,2550,52.35290879,-131.4107614
