sys_nm,species,cuid,cunamepse,region,GFE_ID,streamid,lat,lon
COLLISON BAY CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1633.0,2560,52.27847822,-131.1575036
COLLISON BAY CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1633.0,4067,52.27847822,-131.1575036
COLLISON BAY CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1633.0,442,52.27847822,-131.1575036
CONE HEAD CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1532.0,3995,53.36549727,-132.6927177
COPPER CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1579.0,2305,53.16135122,-131.8003491
COPPER CREEK,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1579.0,4861,53.16135122,-131.8003491
COPPER CREEK,Lake sockeye,826,Skidegate,Haida Gwaii,1579.0,5960,53.16135122,-131.8003491
COPPER CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1579.0,3875,53.16135122,-131.8003491
COPPER CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1579.0,195,53.16135122,-131.8003491
CRABAPPLE BROOK,Chum,804,Skidegate,Haida Gwaii,1509.0,339,53.25342775,-132.1106502
CRABAPPLE BROOK,Coho,807,East Haida Gwaii,Haida Gwaii,1509.0,2460,53.25342775,-132.1106502
CRABAPPLE BROOK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1509.0,3974,53.25342775,-132.1106502
CRAZY CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,2306.0,704,52.81073363,-132.037426
CRESCENT INLET CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1602.0,412,52.73995899,-131.8746056
CRESCENT INLET CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1602.0,2531,52.73995899,-131.8746056
CRESCENT INLET CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1602.0,4045,52.73995899,-131.8746056
CRESCENT INLET CREEK,River sockeye,816,East Haida Gwaii (river-type),Haida Gwaii,1602.0,6054,52.73995899,-131.8746056
CRESCENT INLET CREEK,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1602.0,4973,52.73995899,-131.8746056
DANA CREEK #1,Coho,807,East Haida Gwaii,Haida Gwaii,1599.0,2528,52.8090004,-131.8401292
DANA CREEK #1,Chum,801,East Haida Gwaii,Haida Gwaii,1599.0,409,52.8090004,-131.8401292
DANA CREEK #1,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1599.0,4972,52.8090004,-131.8401292
DANA CREEK #1,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1599.0,4042,52.8090004,-131.8401292
DANA CREEK #2,Coho,807,East Haida Gwaii,Haida Gwaii,1600.0,2529,52.80615055,-131.8359971
DANA CREEK #2,Chinook,806,East Haida Gwaii,Haida Gwaii,1600.0,1557,52.80615055,-131.8359971
DANA CREEK #2,Chum,801,East Haida Gwaii,Haida Gwaii,1600.0,410,52.80615055,-131.8359971
DANA CREEK #2,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1600.0,4043,52.80615055,-131.8359971
DANA CREEK #3,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1601.0,4044,52.79542341,-131.811384
DANA CREEK #3,Coho,807,East Haida Gwaii,Haida Gwaii,1601.0,2530,52.79542341,-131.811384
DANA CREEK #3,Chum,801,East Haida Gwaii,Haida Gwaii,1601.0,411,52.79542341,-131.811384
