region,species_name,type,current_status,short_trend,short_trend_cat,long_trend,long_trend_cat,current_abundance,current_abundance_year,average_abundance,previous_gen_abundance,gen_length,nyears,rangeyears,datasetversion
Fraser,Pink,Spawners,1.095332838,0.035246113,arrows-left-right,0.035696318,arrow-up,9542025,2023,4553942,7827445,2,33,1959-2023,20251112
Fraser,Pink,Run Size,0.119474664,0.043754292,arrows-left-right,0.011314376,arrows-left-right,10513292,2023,9391273,8107514,2,33,1959-2023,20251112
Fraser,Sockeye,Spawners,0.082576016,-0.110826807,arrow-down,0.009749413,arrow-up,1139550,2023,1052628,873283,4,131,1893-2023,20251112
Fraser,Sockeye,Run Size,-0.595990464,-0.122267679,arrow-down,-0.000506712,arrows-left-right,1819994,2024,4504830,1347292,4,132,1893-2024,20251112
Fraser,Steelhead,Spawners,-0.813327235,-0.12259433,arrow-down,-0.018123198,arrow-down,271,2023,1452,672,5,52,1972-2023,20251112
Fraser,Steelhead,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,5,-989898,-989898,20251112
Haida Gwaii,Chinook,Spawners,-989898,0.073113873,arrow-up,0.003971878,arrows-left-right,-989898,2006,1609,-989898,5,72,1935-2006,20251112
Haida Gwaii,Chinook,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,5,-989898,-989898,20251112
Haida Gwaii,Chum,Spawners,-0.668529442,-0.060457119,arrow-down,-0.015780253,arrow-down,79087,2023,238595,147956,5,74,1950-2023,20251112
Haida Gwaii,Chum,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,5,-989898,-989898,20251112
Haida Gwaii,Coho,Spawners,-0.760015201,-0.117003374,arrow-down,-0.009563147,arrow-down,17171,2023,71550,58772,4,74,1950-2023,20251112
Haida Gwaii,Coho,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,4,-989898,-989898,20251112
Haida Gwaii,Pink,Spawners,-0.295010503,-0.18825146,arrows-left-right,-0.015830032,arrow-down,77535,2023,109980,44268,2,74,1950-2023,20251112
Haida Gwaii,Pink,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,2,-989898,-989898,20251112
Haida Gwaii,Sockeye,Spawners,-0.03390851,-0.007447965,arrows-left-right,-0.003603517,arrows-left-right,25788,2023,26694,30069,5,74,1950-2023,20251112
Haida Gwaii,Sockeye,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,5,-989898,-989898,20251112
Haida Gwaii,Steelhead,Spawners,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,20251112
Haida Gwaii,Steelhead,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,20251112
Nass,Chinook,Spawners,-0.162636021,-0.030403757,arrow-down,-0.004098258,arrows-left-right,13941,2024,16649,11510,5,50,1975-2024,20251112
Nass,Chinook,Run Size,-0.10546087,-0.019632322,arrows-left-right,9.97576979744341e-05,arrows-left-right,20676,2024,23113,17560,5,50,1975-2024,20251112
Nass,Chum,Spawners,1.176767356,0.215937824,arrow-up,-0.010303751,arrow-down,92250,2024,42379,40117,4,75,1950-2024,20251112
Nass,Chum,Run Size,1.286892787,0.215407663,arrow-up,-0.034374923,arrow-down,114895,2024,50241,44693,4,33,1992-2024,20251112
Nass,Coho,Spawners,0.743054514,0.010693799,arrows-left-right,0.025997561,arrow-up,222713,2024,127772,117673,4,33,1992-2024,20251112
Nass,Coho,Run Size,0.533627022,-0.012956332,arrows-left-right,0.018192608,arrow-up,422409,2024,275431,234642,4,33,1992-2024,20251112
Nass,Pink,Spawners,5.63809799,0.476834801,arrow-up,0.024755436,arrow-up,1572554,2024,236898,505420,2,75,1950-2024,20251112
Nass,Pink,Run Size,2.318988877,0.472410093,arrow-up,-3.33E-05,arrows-left-right,1821191,2024,548719,576437,2,33,1992-2024,20251112
Nass,Sockeye,Spawners,0.486868628,0.028081212,arrow-up,0.000759505,arrows-left-right,388585,2024,261344,266004,5,43,1982-2024,20251112
Nass,Sockeye,Run Size,-0.180521627,-0.014437738,arrows-left-right,-0.015176952,arrow-down,546804,2024,667258,442223,5,43,1982-2024,20251112
