feature,importance_mean,importance_std
T,0.026521169976342334,0.0023285581131570546
P,0.004498732150582271,0.010982796451183767
Q_rising,0.0005512018099197644,0.006041636606442096
P_7,-0.0030569839471186614,0.0018093165972764532
Q_pulse,-0.011854881474497328,0.0085090504480669
Q_7,-0.013833937057673646,0.008776352628713078
T_trend7,-0.02610759736875868,0.025748817345036007
