"","X","stream","year","date","doy","days_at_risk","arrived","flow","flow_7d","flow_14d","flow_30d","flow_delta_14d","flow_cum_since_start","days_since_high_flow","jan_jun_mean_flow","n_missing_flow"
"1",61,"NANAIMO RIVER",1984,"1984-01-01",1,1,0,7.84,6.33714285714294,7.01857142857105,10.2360000000001,-0.681428571428114,7.84,NA,14.8829281767956,0
"2",62,"NANAIMO RIVER",1984,"1984-01-02",2,2,0,17.2,7.89857142857051,7.53928571428488,10.376,0.359285714285631,25.04,0,14.8829281767956,0
"3",63,"NANAIMO RIVER",1984,"1984-01-03",3,3,0,35.4,12.105714285715,9.43214285714306,11.176,2.67357142857197,60.44,0,14.8829281767956,0
"4",64,"NANAIMO RIVER",1984,"1984-01-04",4,4,0,88.7,23.9699999999991,15.1957142857147,13.7826666666665,8.77428571428443,149.14,0,14.8829281767956,0
"5",65,"NANAIMO RIVER",1984,"1984-01-05",5,5,0,67.9,32.8799999999984,19.5164285714283,15.7216666666665,13.3635714285701,217.04,0,14.8829281767956,0
"6",66,"NANAIMO RIVER",1984,"1984-01-06",6,6,0,47.4,38.8057142857142,22.4078571428576,17.0019999999999,16.3978571428566,264.44,0,14.8829281767956,0
"7",67,"NANAIMO RIVER",1984,"1984-01-07",7,7,0,36.9,43.0485714285709,24.5828571428574,17.8353333333333,18.4657142857135,301.34,0,14.8829281767956,0
"8",68,"NANAIMO RIVER",1984,"1984-01-08",8,8,0,34.2,46.8142857142853,26.5757142857141,18.4919999999998,20.2385714285712,335.54,0,14.8829281767956,0
"9",69,"NANAIMO RIVER",1984,"1984-01-09",9,9,0,29.8,48.6142857142861,28.2564285714283,19.0653333333331,20.3578571428578,365.34,0,14.8829281767956,0
"10",70,"NANAIMO RIVER",1984,"1984-01-10",10,10,0,29.3,47.7428571428567,29.9242857142859,19.5919999999998,17.8185714285708,394.64,0,14.8829281767956,0
